ACTIVITY,Economic activity,TIME_PERIOD,B1G,D1,B2A3G,alpha_capital,share_trabajo,sector
B,Mining and quarrying,2014,22128,5596,16373,0.7399222704266089,0.2528922631959508,Fosfatos
B,Mining and quarrying,2015,24544,6161,18225,0.7425440026075619,0.25101857887874834,Fosfatos
B,Mining and quarrying,2016,20171,6295,13679,0.6781518020921125,0.31208170145258046,Fosfatos
B,Mining and quarrying,2017,20809,6642,13976,0.6716324667211303,0.3191888125330386,Fosfatos
B,Mining and quarrying,2018,20789,6604,14002,0.6735292702871711,0.3176679974986772,Fosfatos
B,Mining and quarrying,2019,20392,6822,13372,0.6557473519027069,0.334542958022754,Fosfatos
B,Mining and quarrying,2020,16659,5704,10750,0.6452968365448106,0.3423975028513116,Fosfatos
B,Mining and quarrying,2021,21749,7881,13662,0.6281668122672307,0.36236148788450045,Fosfatos
B08,Other mining and quarrying,2014,16794,4753,11868,0.706680957484816,0.2830177444325354,Fosfatos
B08,Other mining and quarrying,2015,18902,5242,13500,0.7142101364934927,0.2773251507776955,Fosfatos
B08,Other mining and quarrying,2016,14366,5354,8828,0.6145064736182654,0.37268550744814144,Fosfatos
B08,Other mining and quarrying,2017,13723,5617,7920,0.5771332798950667,0.409312832471034,Fosfatos
B08,Other mining and quarrying,2018,13621,5570,7860,0.5770501431612951,0.40892739152778795,Fosfatos
B08,Other mining and quarrying,2019,14469,5801,8463,0.5849056603773585,0.40092611790724997,Fosfatos
B08,Other mining and quarrying,2020,10907,4779,5933,0.5439625928302925,0.438158980471257,Fosfatos
B08,Other mining and quarrying,2021,15325,6854,8264,0.5392495921696574,0.4472430668841762,Fosfatos
C29,"Manufacture of motor vehicles, trailers and semi-trailers",2014,8031,4078,3919,0.4879840617606774,0.5077823434192504,Automotor
C29,"Manufacture of motor vehicles, trailers and semi-trailers",2015,8976,4260,4685,0.5219474153297683,0.47459893048128343,Automotor
C29,"Manufacture of motor vehicles, trailers and semi-trailers",2016,9895,4580,5279,0.5335017685699849,0.4628600303183426,Automotor
C29,"Manufacture of motor vehicles, trailers and semi-trailers",2017,10395,4720,5638,0.5423761423761424,0.45406445406445406,Automotor
C29,"Manufacture of motor vehicles, trailers and semi-trailers",2018,12642,5166,7438,0.5883562727416548,0.40863787375415284,Automotor
C29,"Manufacture of motor vehicles, trailers and semi-trailers",2019,14106,5993,8073,0.5723096554657593,0.42485467177087766,Automotor
C29,"Manufacture of motor vehicles, trailers and semi-trailers",2020,12719,5447,7234,0.5687554052991587,0.4282569384385565,Automotor
C29,"Manufacture of motor vehicles, trailers and semi-trailers",2021,11685,5004,6640,0.5682498930252461,0.4282413350449294,Automotor
