year,total,flujo,total_fmt
2021,36585224.955,Exportaciones,36.59 mil millones USD
2022,42183470.722,Exportaciones,42.18 mil millones USD
2023,42462806.869,Exportaciones,42.46 mil millones USD
2024,80568883.412,Exportaciones,80.57 mil millones USD
2025,88792679.71000001,Exportaciones,88.79 mil millones USD
2021,58677639.332,Importaciones,58.68 mil millones USD
2022,72577705.679,Importaciones,72.58 mil millones USD
2023,70644998.453,Importaciones,70.64 mil millones USD
2024,97953428.548,Importaciones,97.95 mil millones USD
2025,112014966.318,Importaciones,112.01 mil millones USD
