p,cuci_desc,total,total_fmt
BRA,Manufactured fertilizers,2404754.109,2.40 mil millones USD
IND,Manufactured fertilizers,1630921.48,1.63 mil millones USD
AUS,Manufactured fertilizers,825005.661,825.0 millones USD
ARG,Manufactured fertilizers,634934.875,634.9 millones USD
USA,Manufactured fertilizers,545561.443,545.6 millones USD
CAN,Manufactured fertilizers,369300.337,369.3 millones USD
FRA,Manufactured fertilizers,249751.613,249.8 millones USD
ESP,Manufactured fertilizers,248112.276,248.1 millones USD
IND,Fertilizers crude,217187.615,217.2 millones USD
MEX,Fertilizers crude,173920.787,173.9 millones USD
ROM,Manufactured fertilizers,139539.358,139.5 millones USD
NGA,Manufactured fertilizers,130819.121,130.8 millones USD
GBR,Manufactured fertilizers,129958.987,130.0 millones USD
BEL,Manufactured fertilizers,126390.128,126.4 millones USD
ITA,Manufactured fertilizers,116558.274,116.6 millones USD
