year,socio,icc
2021,ESP,59.87034268040006
2021,FRA,57.52165450237231
2021,DEU,59.99960552852135
2021,USA,58.98506549940934
2021,BRA,30.780553975593417
2022,ESP,56.50144841329855
2022,FRA,53.77130145454792
2022,DEU,54.50946246441962
2022,USA,56.59365785829799
2022,BRA,31.919252302201496
2023,ESP,57.05636700511214
2023,FRA,56.19116123774083
2023,DEU,58.23310054255373
2023,USA,58.51868427867033
2023,BRA,31.076086793303816
2024,ESP,54.404112286262674
2024,FRA,54.257245995344725
2024,DEU,56.626459986085564
2024,USA,56.16860269677544
2024,BRA,29.814220855447925
2025,ESP,56.0828553913951
2025,FRA,56.257574870721186
2025,DEU,58.20736166075835
2025,USA,54.740632485609694
2025,BRA,30.735620997888635
