p,total,total_fmt
ESP,16406725.634,16.41 mil millones USD
CHN,10449898.789,10.45 mil millones USD
FRA,10324085.338,10.32 mil millones USD
USA,8759419.562,8.76 mil millones USD
DEU,5266146.248,5.27 mil millones USD
ITA,4438169.564,4.44 mil millones USD
PRT,3060179.972,3.06 mil millones USD
SAU,2872620.833,2.87 mil millones USD
BRA,1973943.559,1.97 mil millones USD
ROM,1934457.065,1.93 mil millones USD
ARE,1729274.828,1.73 mil millones USD
IND,1702093.4510000001,1.70 mil millones USD
BEL,1664841.6739999999,1.66 mil millones USD
EGY,1339278.642,1.34 mil millones USD
GBR,1164670.155,1.16 mil millones USD
