cuci_desc,p,value,pct,value_fmt
Passenger cars etc,FRA,3642768.202,28.5,3.64 mil millones USD
Passenger cars etc,ITA,2449924.247,19.1,2.45 mil millones USD
Passenger cars etc,ESP,1271623.345,9.9,1.27 mil millones USD
Passenger cars etc,DEU,1220212.023,9.5,1.22 mil millones USD
Passenger cars etc,Otros,4209855.486,32.9,4.21 mil millones USD
Manufactured fertilizers,BRA,2404754.109,19,2.40 mil millones USD
Manufactured fertilizers,IND,1630921.48,12.9,1.63 mil millones USD
Manufactured fertilizers,AUS,825005.661,6.5,825.0 millones USD
Manufactured fertilizers,ARG,634934.875,5,634.9 millones USD
Manufactured fertilizers,Otros,7139505.210000001,56.5,7.14 mil millones USD
Electrical distrib equip,ESP,3581543.528,33.1,3.58 mil millones USD
Electrical distrib equip,FRA,2202210.689,20.3,2.20 mil millones USD
Electrical distrib equip,DEU,1174592.162,10.8,1.17 mil millones USD
Electrical distrib equip,GBR,1113674.298,10.3,1.11 mil millones USD
Electrical distrib equip,Otros,2759878.8790000007,25.5,2.76 mil millones USD
Women/girl clothing wven,ESP,3382933.508,79,3.38 mil millones USD
Women/girl clothing wven,FRA,433271.156,10.1,433.3 millones USD
Women/girl clothing wven,ITA,131401.542,3.1,131.4 millones USD
Women/girl clothing wven,GBR,117253.435,2.7,117.3 millones USD
Women/girl clothing wven,Otros,217467.06900000013,5.1,217.5 millones USD
Motor veh parts/access,ESP,1280912.875,37.3,1.28 mil millones USD
Motor veh parts/access,FRA,729459.265,21.2,729.5 millones USD
Motor veh parts/access,DEU,323736.682,9.4,323.7 millones USD
Motor veh parts/access,USA,311863.984,9.1,311.9 millones USD
Motor veh parts/access,Otros,792519.071,23,792.5 millones USD
