cuci_desc,p,value,pct,value_fmt
Heavy petrol/bitum oils,ESP,1972032.562,25.5,1.97 mil millones USD
Heavy petrol/bitum oils,SAU,1655549.735,21.4,1.66 mil millones USD
Heavy petrol/bitum oils,USA,763670.135,9.9,763.7 millones USD
Heavy petrol/bitum oils,ITA,532782.595,6.9,532.8 millones USD
Heavy petrol/bitum oils,Otros,2818910.823,36.4,2.82 mil millones USD
Motor veh parts/access,ESP,1825854.325,28.5,1.83 mil millones USD
Motor veh parts/access,FRA,1579729.82,24.6,1.58 mil millones USD
Motor veh parts/access,ROM,846092.116,13.2,846.1 millones USD
Motor veh parts/access,PRT,562289.019,8.8,562.3 millones USD
Motor veh parts/access,Otros,1600672.568,25,1.60 mil millones USD
Electrical distrib equip,DEU,834912.902,21.8,834.9 millones USD
Electrical distrib equip,ESP,586802.076,15.4,586.8 millones USD
Electrical distrib equip,FRA,519840.95,13.6,519.8 millones USD
Electrical distrib equip,PRT,465149.171,12.2,465.1 millones USD
Electrical distrib equip,Otros,1415031.9870000002,37,1.42 mil millones USD
Aircraft/spacecraft/etc,USA,2080662.874,69.5,2.08 mil millones USD
Aircraft/spacecraft/etc,FRA,724027.473,24.2,724.0 millones USD
Aircraft/spacecraft/etc,GBR,65263.48,2.2,65.3 millones USD
Aircraft/spacecraft/etc,ESP,29323.392,1,29.3 millones USD
Aircraft/spacecraft/etc,Otros,96301.71499999985,3.2,96.3 millones USD
Electric circuit equipmt,ESP,985497.882,33.5,985.5 millones USD
Electric circuit equipmt,FRA,801130.684,27.3,801.1 millones USD
Electric circuit equipmt,DEU,250553.41,8.5,250.6 millones USD
Electric circuit equipmt,CHN,209460.408,7.1,209.5 millones USD
Electric circuit equipmt,Otros,692932.4669999997,23.6,692.9 millones USD
