year,cuci,cuci_desc,share_mar,share_wld,vcr,vcrn
2024,344,Petrol./hydrocarbon gas,2.482347918082378e-10,4.368710633692907e-4,5.682106521172881e-7,-0.9999988635793415
2024,231,Natural rubber/latex/etc,1.1418800423178936e-9,6.374419553288789e-4,1.7913474831269259e-6,-0.9999964173114515
2024,044,Maize except sweet corn.,4.306873637872925e-9,0.0020736080974750105,2.0769949939515163e-6,-0.9999958460186398
2024,891,Arms and ammunition,5.6845767324086444e-9,0.0017018729224180995,3.3401887165181148e-6,-0.9999933196448806
2024,321,Coal non-agglomerated,3.373510820673951e-8,0.005977611514325217,5.643576556605268e-6,-0.9999887129105864
2024,525,Radio-active etc matrial,1.3702560507814725e-8,0.0010557738897002253,1.29786885634247e-5,-0.9999740429597614
2024,222,Oil seeds etc - soft oil,7.202532484316018e-8,0.0048666611555764966,1.4799741042301553e-5,-0.9999704009559736
2024,342,Liquid propane/butane,1.8643674038757697e-7,0.0023957424872590146,7.782002505656629e-5,-0.999844372060857
2024,072,Cocoa,1.812734567179656e-7,0.0018045641428971323,1.0045276441486899e-4,-0.999799114650659
2024,685,Lead,7.141714960322999e-8,3.6146607478823833e-4,1.9757635525012712e-4,-0.9996049253469097
2024,672,Primary/prods iron/steel,2.712461570088614e-7,0.0012823979558656243,2.1151480768367962e-4,-0.9995770598427386
2024,247,Wood in rough/squared,1.1425006292974142e-7,5.18231642707948e-4,2.2046137965011837e-4,-0.999559174425714
