p,total,total_fmt
ESP,18209308.134,18.21 mil millones USD
FRA,15837620.634,15.84 mil millones USD
DEU,4401896.995,4.40 mil millones USD
ITA,4229035.1959999995,4.23 mil millones USD
GBR,3533492.1119999997,3.53 mil millones USD
IND,2692825.234,2.69 mil millones USD
BRA,2624626.228,2.62 mil millones USD
USA,2420911.501,2.42 mil millones USD
NLD,1326232.953,1.33 mil millones USD
PRT,1298940.027,1.30 mil millones USD
PAK,1229210.753,1.23 mil millones USD
BEL,1144235.975,1.14 mil millones USD
ROM,1038297.035,1.04 mil millones USD
AUS,879862.588,879.9 millones USD
HKG,733122.576,733.1 millones USD
