cuci,cuci_desc,value,value_fmt
781,Passenger cars etc,12794383.303,12.79 mil millones USD
562,Manufactured fertilizers,12635121.335,12.64 mil millones USD
773,Electrical distrib equip,10831899.556,10.83 mil millones USD
842,Women/girl clothing wven,4282326.71,4.28 mil millones USD
784,Motor veh parts/access,3438491.877,3.44 mil millones USD
792,Aircraft/spacecraft/etc,3236124.569,3.24 mil millones USD
522,Elements/oxides/hal salt,2880857.196,2.88 mil millones USD
054,"Vegetables,frsh/chld/frz",2154236.568,2.15 mil millones USD
772,Electric circuit equipmt,2140313.717,2.14 mil millones USD
057,"Fruit/nuts, fresh/dried",1989642.893,1.99 mil millones USD
776,Valves/transistors/etc,1941253.593,1.94 mil millones USD
845,Articles of apparel nes,1541138.58,1.54 mil millones USD
