ACTIVITY,Economic activity,TIME_PERIOD,D1,B1G,P1,B2A3G,alpha_capital,share_trabajo,va_sobre_output
B08,Other mining and quarrying,2014,4753,16794,26831,11868,0.706680957484816,0.2830177444325354,0.6259177816704559
B08,Other mining and quarrying,2015,5242,18902,28398,13500,0.7142101364934927,0.2773251507776955,0.6656102542432566
B08,Other mining and quarrying,2016,5354,14366,23725,8828,0.6145064736182654,0.37268550744814144,0.6055216016859852
B08,Other mining and quarrying,2017,5617,13723,24509,7920,0.5771332798950667,0.409312832471034,0.5599167652699009
B08,Other mining and quarrying,2018,5570,13621,25315,7860,0.5770501431612951,0.40892739152778795,0.5380604384752123
B08,Other mining and quarrying,2019,5801,14469,25754,8463,0.5849056603773585,0.40092611790724997,0.5618156402888872
B08,Other mining and quarrying,2020,4779,10907,22002,5933,0.5439625928302925,0.438158980471257,0.49572766112171623
B08,Other mining and quarrying,2021,6854,15325,27467,8264,0.5392495921696574,0.4472430668841762,0.557942257982306
C20,Manufacture of chemicals and chemical products,2014,3710,16831,54734,12999,0.7723248767155844,0.22042659378527718,0.3075053897029269
C20,Manufacture of chemicals and chemical products,2015,3644,20782,59766,17025,0.8192185545183331,0.17534404773361562,0.34772278553023456
C20,Manufacture of chemicals and chemical products,2016,3556,17007,49408,13322,0.7833245134356441,0.2090903745516552,0.3442155116580311
C20,Manufacture of chemicals and chemical products,2017,3694,17267,53893,13439,0.7783054381189553,0.2139340939364105,0.32039411426344794
C20,Manufacture of chemicals and chemical products,2018,3859,22690,64756,18695,0.8239312472454826,0.17007492287351256,0.3503922416455618
C20,Manufacture of chemicals and chemical products,2019,3907,21271,63556,17219,0.8095059000517136,0.18367730713177566,0.33468122600541256
C20,Manufacture of chemicals and chemical products,2020,4292,24695,63168,20264,0.8205709657825471,0.17380036444624417,0.3909416160081054
C20,Manufacture of chemicals and chemical products,2021,8540,48989,93239,40302,0.8226744779440283,0.17432484843536303,0.5254131854695996
C27,Manufacture of electrical equipment,2014,2056,4068,13259,2013,0.4948377581120944,0.5054080629301868,0.3068104683611132
C27,Manufacture of electrical equipment,2015,2090,4187,13654,2095,0.50035825173155,0.4991640792930499,0.30665006591475025
C27,Manufacture of electrical equipment,2016,2096,3965,13110,1864,0.4701134930643127,0.528625472887768,0.30244088482074755
C27,Manufacture of electrical equipment,2017,2295,4340,14232,2040,0.4700460829493088,0.5288018433179723,0.304946599213041
C27,Manufacture of electrical equipment,2018,2562,5029,15243,2465,0.49015708888447007,0.5094452177371247,0.3299219313783376
C27,Manufacture of electrical equipment,2019,2751,5688,16216,2935,0.5159985935302391,0.48364978902953587,0.3507646768623582
C27,Manufacture of electrical equipment,2020,2400,5258,14173,2852,0.5424115633320654,0.4564473183720046,0.3709870881253087
C27,Manufacture of electrical equipment,2021,2844,6228,17623,3381,0.5428709055876686,0.45664739884393063,0.35340180446008057
C29,"Manufacture of motor vehicles, trailers and semi-trailers",2014,4078,8031,51122,3919,0.4879840617606774,0.5077823434192504,0.1570947928484801
C29,"Manufacture of motor vehicles, trailers and semi-trailers",2015,4260,8976,54448,4685,0.5219474153297683,0.47459893048128343,0.16485454011166617
C29,"Manufacture of motor vehicles, trailers and semi-trailers",2016,4580,9895,59905,5279,0.5335017685699849,0.4628600303183426,0.1651781988147901
C29,"Manufacture of motor vehicles, trailers and semi-trailers",2017,4720,10395,61571,5638,0.5423761423761424,0.45406445406445406,0.16882948141170356
C29,"Manufacture of motor vehicles, trailers and semi-trailers",2018,5166,12642,71103,7438,0.5883562727416548,0.40863787375415284,0.1777984051305852
C29,"Manufacture of motor vehicles, trailers and semi-trailers",2019,5993,14106,79652,8073,0.5723096554657593,0.42485467177087766,0.17709536483704114
C29,"Manufacture of motor vehicles, trailers and semi-trailers",2020,5447,12719,68987,7234,0.5687554052991587,0.4282569384385565,0.1843680693463986
C29,"Manufacture of motor vehicles, trailers and semi-trailers",2021,5004,11685,78545,6640,0.5682498930252461,0.4282413350449294,0.148768222038322
